Unnamed: 0,Classifier,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
3,MLP-PCA,88.66,86.3,91.92,89.01,88.66,88.65,0.08,0.95,0.78,Individual,Extract Subclass
4,SGD-PCA,82.03,77.42,90.52,83.4,82.03,81.88,0.13,0.9,0.65,Individual,Extract Subclass
5,NB(B)-PCA,75.33,75.51,74.94,75.2,75.33,75.32,0.17,0.83,0.51,Individual,Extract Subclass
6,NB(G)-PCA,64.73,59.6,91.53,72.18,64.73,61.99,0.29,0.85,0.35,Individual,Extract Subclass
7,KNN-PCA,84.86,81.02,91.06,85.73,84.86,84.8,0.11,0.91,0.7,Individual,Extract Subclass
0,Stack-LR-PCA,88.64,86.81,91.12,88.9,88.64,88.63,0.08,0.95,0.77,Stacking,Extract Subclass
1,Stack-DT-PCA,82.77,83.78,81.26,82.49,82.77,82.76,0.17,0.83,0.66,Stacking,Extract Subclass
0,TBStack-LR-PCA,88.42,86.78,90.68,88.67,88.42,88.41,0.08,0.95,0.77,TreeStacking,Extract Subclass
1,TBStack-DT-PCA,82.89,83.84,81.5,82.64,82.89,82.88,0.17,0.83,0.66,TreeStacking,Extract Subclass
0,DT-PCA,83.8,83.62,84.12,83.85,83.8,83.79,0.16,0.84,0.68,Individual,Extract Superclass
1,LR-PCA,83.9,79.5,91.6,85.09,83.9,83.79,0.12,0.91,0.69,Individual,Extract Superclass
2,SVM-PCA,85.71,81.67,92.28,86.62,85.71,85.63,0.11,0.92,0.72,Individual,Extract Superclass
3,MLP-PCA,89.24,87.93,91.05,89.44,89.24,89.23,0.08,0.96,0.79,Individual,Extract Superclass
4,SGD-PCA,82.69,78.91,89.52,83.81,82.69,82.59,0.12,0.91,0.66,Individual,Extract Superclass
5,NB(B)-PCA,76.43,76.83,75.96,76.34,76.43,76.41,0.17,0.83,0.53,Individual,Extract Superclass
6,NB(G)-PCA,71.54,65.44,92.33,76.53,71.54,70.13,0.22,0.87,0.47,Individual,Extract Superclass
7,KNN-PCA,85.62,82.27,90.93,86.36,85.62,85.57,0.11,0.92,0.72,Individual,Extract Superclass
0,Stack-LR-PCA,88.93,88.2,89.97,89.05,88.93,88.92,0.08,0.96,0.78,Stacking,Extract Superclass
1,Stack-DT-PCA,83.81,84.21,83.27,83.71,83.81,83.8,0.16,0.84,0.68,Stacking,Extract Superclass
0,TBStack-LR-PCA,88.86,87.74,90.39,89.03,88.86,88.85,0.08,0.96,0.78,TreeStacking,Extract Superclass
1,TBStack-DT-PCA,83.1,83.11,83.22,83.13,83.1,83.1,0.17,0.83,0.66,TreeStacking,Extract Superclass
0,DT-PCA,87.02,87.79,85.95,86.79,87.02,87.01,0.13,0.87,0.74,Individual,Move And Rename Class
1,LR-PCA,84.96,81.84,89.74,85.56,84.96,84.92,0.1,0.94,0.7,Individual,Move And Rename Class
2,SVM-PCA,87.36,85.38,90.06,87.54,87.36,87.33,0.09,0.95,0.75,Individual,Move And Rename Class
3,MLP-PCA,89.59,86.92,93.21,89.89,89.59,89.57,0.08,0.96,0.8,Individual,Move And Rename Class
4,SGD-PCA,87.19,84.86,90.56,87.49,87.19,87.15,0.09,0.95,0.75,Individual,Move And Rename Class
5,NB(B)-PCA,81.82,86.65,75.21,80.31,81.82,81.68,0.13,0.89,0.64,Individual,Move And Rename Class
6,NB(G)-PCA,87.19,83.1,93.54,87.92,87.19,87.12,0.12,0.93,0.75,Individual,Move And Rename Class
7,KNN-PCA,88.1,85.76,91.39,88.45,88.1,88.08,0.09,0.94,0.76,Individual,Move And Rename Class
0,Stack-LR-PCA,89.34,88.44,90.57,89.43,89.34,89.33,0.08,0.96,0.79,Stacking,Move And Rename Class
1,Stack-DT-PCA,84.38,85.71,82.49,83.93,84.38,84.34,0.16,0.84,0.69,Stacking,Move And Rename Class
0,TBStack-LR-PCA,90.99,90.56,91.57,91.0,90.99,90.98,0.07,0.97,0.82,TreeStacking,Move And Rename Class
1,TBStack-DT-PCA,85.04,85.96,83.8,84.81,85.04,85.03,0.15,0.85,0.7,TreeStacking,Move And Rename Class
0,DT-PCA,90.98,90.92,91.09,91.0,90.98,90.98,0.09,0.91,0.82,Individual,Move Class
1,LR-PCA,88.23,85.86,91.65,88.64,88.23,88.21,0.08,0.96,0.77,Individual,Move Class
2,SVM-PCA,91.06,89.16,93.58,91.3,91.06,91.05,0.06,0.97,0.82,Individual,Move Class
3,MLP-PCA,94.62,92.43,97.23,94.76,94.62,94.62,0.04,0.98,0.89,Individual,Move Class
4,SGD-PCA,87.58,84.49,92.31,88.17,87.58,87.54,0.08,0.96,0.76,Individual,Move Class
5,NB(B)-PCA,86.02,86.8,85.05,85.89,86.02,86.02,0.11,0.9,0.72,Individual,Move Class
6,NB(G)-PCA,87.3,83.45,93.18,88.03,87.3,87.24,0.12,0.94,0.75,Individual,Move Class
7,KNN-PCA,91.83,89.44,94.92,92.08,91.83,91.82,0.06,0.96,0.84,Individual,Move Class
0,Stack-LR-PCA,94.57,93.03,96.4,94.67,94.57,94.57,0.04,0.98,0.89,Stacking,Move Class
1,Stack-DT-PCA,89.05,90.97,86.69,88.64,89.05,89.02,0.11,0.89,0.78,Stacking,Move Class
0,TBStack-LR-PCA,94.15,93.08,95.41,94.23,94.15,94.15,0.05,0.98,0.88,TreeStacking,Move Class
1,TBStack-DT-PCA,90.61,90.85,90.37,90.6,90.61,90.61,0.09,0.91,0.81,TreeStacking,Move Class
0,DT-PCA,86.64,87.43,85.63,86.5,86.64,86.64,0.13,0.87,0.73,Individual,Rename Class
1,LR-PCA,84.84,82.31,88.78,85.37,84.84,84.81,0.1,0.94,0.7,Individual,Rename Class
