,Model,FS,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
12,TBStack-DT,PCA,94.03,95.15,92.8,93.96,94.03,94.03,0.06,0.94,0.89,TreeStacking,Rename Variable
13,TBStack-DT,PCA,94.52,95.41,93.55,94.47,94.52,94.52,0.05,0.95,0.89,TreeStacking,Rename Variable
14,TBStack-DT,PCA,94.75,94.98,94.48,94.73,94.75,94.75,0.05,0.95,0.89,TreeStacking,Rename Variable
15,TBStack-DT,PCA,94.03,94.8,93.17,93.98,94.03,94.03,0.06,0.94,0.89,TreeStacking,Rename Variable
16,TBStack-DT,PCA,94.59,95.32,93.78,94.55,94.59,94.59,0.05,0.95,0.89,TreeStacking,Rename Variable
17,TBStack-DT,PCA,94.63,94.99,94.24,94.61,94.63,94.63,0.05,0.95,0.89,TreeStacking,Rename Variable
18,TBStack-DT,PCA,94.45,94.91,93.93,94.42,94.45,94.45,0.06,0.94,0.89,TreeStacking,Rename Variable
19,TBStack-DT,PCA,94.82,95.06,94.54,94.8,94.82,94.82,0.05,0.95,0.89,TreeStacking,Rename Variable
0,Stack-LR,PCA,84.59,82.66,87.55,85.03,84.59,84.58,0.11,0.92,0.7,Stacking,Replace Variable With Attribute
1,Stack-LR,PCA,85.31,85.33,85.29,85.31,85.31,85.31,0.11,0.93,0.7,Stacking,Replace Variable With Attribute
2,Stack-LR,PCA,84.59,83.64,86.01,84.81,84.59,84.59,0.11,0.92,0.7,Stacking,Replace Variable With Attribute
3,Stack-LR,PCA,83.94,84.34,83.37,83.85,83.94,83.94,0.12,0.92,0.7,Stacking,Replace Variable With Attribute
4,Stack-LR,PCA,84.52,83.61,85.87,84.72,84.52,84.52,0.11,0.92,0.7,Stacking,Replace Variable With Attribute
5,Stack-LR,PCA,85.34,84.57,86.44,85.5,85.34,85.33,0.11,0.92,0.7,Stacking,Replace Variable With Attribute
6,Stack-LR,PCA,84.66,85.14,83.99,84.56,84.66,84.66,0.11,0.92,0.7,Stacking,Replace Variable With Attribute
7,Stack-LR,PCA,84.09,83.16,85.48,84.31,84.09,84.08,0.12,0.91,0.7,Stacking,Replace Variable With Attribute
8,Stack-LR,PCA,86.01,84.01,88.94,86.41,86.01,86,0.1,0.93,0.7,Stacking,Replace Variable With Attribute
9,Stack-LR,PCA,84.35,82.94,86.49,84.68,84.35,84.34,0.11,0.92,0.7,Stacking,Replace Variable With Attribute
10,Stack-DT,PCA,75.41,77.51,71.59,74.43,75.41,75.37,0.25,0.75,0.55,Stacking,Replace Variable With Attribute
11,Stack-DT,PCA,77.98,78.75,76.63,77.68,77.98,77.98,0.22,0.78,0.55,Stacking,Replace Variable With Attribute
12,Stack-DT,PCA,77.36,78.28,75.72,76.98,77.36,77.35,0.23,0.77,0.55,Stacking,Replace Variable With Attribute
13,Stack-DT,PCA,77.69,77.88,77.36,77.62,77.69,77.69,0.22,0.78,0.55,Stacking,Replace Variable With Attribute
14,Stack-DT,PCA,77.72,78.16,76.92,77.54,77.72,77.71,0.22,0.78,0.55,Stacking,Replace Variable With Attribute
15,Stack-DT,PCA,78.05,79.22,76.06,77.61,78.05,78.04,0.22,0.78,0.55,Stacking,Replace Variable With Attribute
16,Stack-DT,PCA,77.36,77.78,76.59,77.18,77.36,77.35,0.23,0.77,0.55,Stacking,Replace Variable With Attribute
